department,category,distribution_center_name,inventory_units,sold_units,unsold_units,sell_through_rate,median_days_to_sell,p90_days_to_sell,aged_181_plus_units,unsold_inventory_cost,unsold_inventory_retail_value
Women,Outerwear & Coats,New Orleans LA,561,206,355,0.3672014260249554,32.0,53.5,315,23402.242528874172,52087.01002883911
Men,Outerwear & Coats,Los Angeles CA,1347,492,855,0.36525612472160357,31.0,54.0,745,58129.26759616389,131962.41994857788
Women,Outerwear & Coats,Chicago IL,885,328,557,0.3706214689265537,31.5,55.0,493,37226.88727743502,81538.6100692749
Women,Outerwear & Coats,Mobile AL,658,237,421,0.3601823708206687,36.0,55.0,378,22748.065412409713,51346.20044326782
Women,Outerwear & Coats,Savannah GA,63,26,37,0.4126984126984127,22.0,55.5,35,2952.5004685129898,6633.940032958984
Women,Tops & Tees,Los Angeles CA,866,322,544,0.371824480369515,29.0,54.900000000000034,483,11248.290099657563,20067.239994049072
Men,Tops & Tees,Los Angeles CA,2334,869,1465,0.3723221936589546,32.0,54.0,1278,29530.492456118314,53159.01010990143
Women,Fashion Hoodies & Sweatshirts,Los Angeles CA,1211,448,763,0.3699421965317919,30.0,54.0,670,18169.569962929665,38902.08004760742
Men,Fashion Hoodies & Sweatshirts,Philadelphia PA,1617,600,1017,0.37105751391465674,31.0,54.0,910,38273.33022159384,70023.36957168579
Men,Fashion Hoodies & Sweatshirts,Charleston SC,2435,911,1524,0.37412731006160166,30.0,54.0,1324,34893.14072638248,63881.1900472641
Men,Fashion Hoodies & Sweatshirts,Houston TX,1047,380,667,0.3629417382999045,33.0,55.0,583,35958.66235329407,63462.00988006592
Women,Intimates,Los Angeles CA,2414,892,1522,0.36951118475559236,30.5,54.0,1348,29668.196338285343,55848.06999015808
Men,Pants,Los Angeles CA,2009,736,1273,0.366351418616227,28.0,53.5,1130,40892.15634569375,88466.08037376404
Women,Pants & Capris,Los Angeles CA,549,203,346,0.3697632058287796,29.0,53.0,305,8820.55703991044,16907.400261878967
Men,Socks,Philadelphia PA,2174,803,1371,0.3693652253909844,30.0,55.80000000000007,1231,22853.39682146821,37767.75005674362
Men,Socks,Houston TX,2542,946,1596,0.37214791502753736,27.0,55.0,1422,16881.90754027591,28079.03998374939
Men,Socks,Charleston SC,449,170,279,0.37861915367483295,30.5,53.0,245,2223.0225209269056,3730.6499257087708
Women,Socks & Hosiery,Chicago IL,2611,962,1649,0.36844121026426657,29.5,55.0,1471,10516.59789571939,25941.810100078583
Women,Socks & Hosiery,Mobile AL,942,353,589,0.3747346072186836,30.0,54.0,517,3676.7515839986972,9168.229970932007
Women,Socks & Hosiery,Savannah GA,371,133,238,0.3584905660377358,29.0,52.0,210,1495.6574720237677,3846.569995880127
Women,Socks & Hosiery,New Orleans LA,893,333,560,0.3729003359462486,28.0,53.80000000000001,498,2821.261463509094,6997.699934959412
Women,Suits,Los Angeles CA,143,58,85,0.40559440559440557,31.0,51.0,80,4121.703493482634,6857.050075531006
Men,Suits & Sport Coats,Houston TX,1444,543,901,0.3760387811634349,28.0,53.0,792,59717.882284709034,148535.39067840576
Men,Suits & Sport Coats,Charleston SC,1243,452,791,0.36363636363636365,29.0,54.0,713,13939.59686011552,35692.89958572388
Men,Suits & Sport Coats,Philadelphia PA,899,331,568,0.3681868743047831,29.0,54.0,496,22465.110172983907,55646.89942741394
Men,Sweaters,Port Authority of New York/New Jersey NY/NJ,2540,936,1604,0.36850393700787404,30.0,55.0,1426,50900.63810113137,102080.33021450043
Women,Sweaters,Houston TX,1327,478,849,0.3602110022607385,31.0,54.0,754,36932.96321174698,82348.13003540039
Men,Sweaters,Memphis TN,2474,924,1550,0.3734842360549717,29.0,54.0,1358,59773.592587892526,119485.41015815735
Women,Sweaters,Charleston SC,887,330,557,0.37204058624577224,28.0,53.10000000000002,476,13495.177443598779,30648.110018730164
Women,Sweaters,Philadelphia PA,1226,451,775,0.36786296900489396,31.0,55.0,690,15224.005966227583,33925.57004261017
Women,Plus,Philadelphia PA,837,307,530,0.36678614097968937,31.0,55.0,477,14079.289211772813,28734.309968948364
Women,Plus,Houston TX,1313,498,815,0.37928408225437926,29.0,54.0,728,12881.06568782936,25867.450006961823
Women,Plus,Charleston SC,515,192,323,0.37281553398058254,32.0,54.900000000000006,295,5560.042152398313,11024.299955368042
Men,Shorts,Mobile AL,2151,810,1341,0.37656903765690375,30.0,54.0,1181,33277.444017719725,66362.14017391205
Men,Shorts,Savannah GA,663,234,429,0.35294117647058826,30.0,54.0,377,17067.950795918674,33286.43003940582
Men,Shorts,New Orleans LA,1165,441,724,0.3785407725321888,30.0,54.0,634,21934.0002818979,44545.3200302124
Men,Shorts,Chicago IL,1313,489,824,0.37242955064737243,31.0,54.0,742,19691.476728043875,39494.640298843384
Women,Shorts,Memphis TN,1403,517,886,0.368496079828938,31.0,54.0,778,18683.73993638915,37114.189898490906
Women,Shorts,Port Authority of New York/New Jersey NY/NJ,727,275,452,0.3782668500687758,33.0,54.599999999999994,415,12934.246043795867,25906.79005050659
Men,Underwear,Los Angeles CA,707,259,448,0.36633663366336633,30.0,55.0,402,5867.872448353475,12733.520004272461
Women,Blazers & Jackets,New Orleans LA,360,130,230,0.3611111111111111,30.0,54.10000000000001,200,13922.843346112551,36947.630100250244
Women,Blazers & Jackets,Chicago IL,1059,384,675,0.3626062322946176,30.0,54.0,599,25271.641884517383,67436.97043991089
Women,Blazers & Jackets,Savannah GA,293,110,183,0.37542662116040953,32.5,52.10000000000001,162,12787.158012483153,33256.99012184143
Women,Blazers & Jackets,Mobile AL,476,177,299,0.37184873949579833,32.0,55.400000000000006,263,8688.191471178161,23234.780345916748
Women,Clothing Sets,Charleston SC,104,37,67,0.3557692307692308,28.0,54.8,60,3871.954359389708,6472.990093231201
Women,Clothing Sets,Houston TX,52,20,32,0.38461538461538464,30.5,54.1,28,1534.2080722629844,2559.7599487304688
Women,Dresses,Memphis TN,2620,974,1646,0.3717557251908397,31.0,54.0,1473,52147.51743864258,116187.03086853027
Women,Dresses,Port Authority of New York/New Jersey NY/NJ,326,122,204,0.37423312883435583,34.0,56.0,185,6970.9564707865775,15557.719960212708
Women,Skirts,Houston TX,664,247,417,0.37198795180722893,30.0,53.0,367,15482.818763048303,39570.32001495361
Women,Skirts,Charleston SC,707,260,447,0.36775106082036774,27.5,48.0,386,7540.064813623663,19109.349906921387
Women,Skirts,Philadelphia PA,687,256,431,0.3726346433770015,33.0,54.0,394,6612.348346498295,16599.11003112793
Men,Sleep & Lounge,Memphis TN,2516,924,1592,0.3672496025437202,30.0,55.0,1416,26727.01449101554,66743.03990077972
Women,Sleep & Lounge,Houston TX,1174,430,744,0.36626916524701875,31.0,54.0,650,20361.927304312667,33937.06009674072
Men,Sleep & Lounge,Port Authority of New York/New Jersey NY/NJ,2138,802,1336,0.37511693171188026,30.5,54.0,1187,30304.110459788506,76164.4399356842
Women,Sleep & Lounge,Philadelphia PA,1334,486,848,0.36431784107946025,30.0,56.0,764,33547.26763955833,55208.54018974304
Women,Sleep & Lounge,Charleston SC,443,169,274,0.38148984198645597,29.0,52.0,231,10171.706678757519,16900.909819602966
Women,Swim,Houston TX,1134,432,702,0.38095238095238093,33.0,55.0,636,19522.962497184308,45794.94994735718
Men,Swim,Philadelphia PA,505,187,318,0.3702970297029703,28.0,53.0,288,10276.27083356366,17331.320148468018
Men,Swim,Charleston SC,3045,1107,1938,0.36354679802955664,30.0,54.0,1725,65091.694748015274,108665.63018608093
Women,Swim,Philadelphia PA,611,221,390,0.3617021276595745,28.0,53.0,345,12256.68188942601,29090.839944839478
Men,Swim,Houston TX,731,271,460,0.3707250341997264,30.0,54.0,419,15361.650728509565,25394.390157699585
Women,Accessories,Los Angeles CA,877,324,553,0.3694412770809578,30.0,54.0,491,6707.97200118827,17155.390085697174
Men,Accessories,Los Angeles CA,1530,560,970,0.3660130718954248,29.0,56.0,877,10397.836545044891,25794.70005750656
Women,Active,Philadelphia PA,950,350,600,0.3684210526315789,30.0,52.0,517,19212.461824248112,45517.55003476143
Men,Active,Los Angeles CA,1425,516,909,0.36210526315789476,29.0,54.0,806,14030.372824716502,32922.72006416321
Women,Active,Houston TX,819,315,504,0.38461538461538464,31.0,55.0,454,20964.93450289683,48519.54981613159
Women,Active,Charleston SC,533,197,336,0.3696060037523452,30.0,54.400000000000006,296,5923.65403037919,13938.219987869263
Men,Jeans,Philadelphia PA,4040,1482,2558,0.3668316831683168,30.0,53.0,2289,137680.33026416905,258290.49081230164
Women,Jeans,New Orleans LA,1434,536,898,0.3737796373779637,31.0,54.0,809,27242.101254239256,50557.08038711548
Men,Jeans,Charleston SC,412,158,254,0.38349514563106796,32.5,54.0,225,11201.49494912402,21268.679805755615
Women,Jeans,Chicago IL,1168,424,744,0.363013698630137,30.0,54.0,667,44761.76783812466,82429.75002098083
Men,Jeans,Houston TX,2065,765,1300,0.3704600484261501,33.0,55.0,1139,44656.737669037146,83519.5401725769
Women,Jeans,Savannah GA,829,302,527,0.36429433051869725,31.5,55.0,466,28384.35582384001,52906.20990180969
Women,Jumpsuits & Rompers,Chicago IL,133,49,84,0.3684210526315789,23.0,50.0,74,2006.519833995823,3786.0500164031982
Women,Jumpsuits & Rompers,Mobile AL,213,76,137,0.3568075117370892,30.0,55.5,120,4427.093226002372,8332.560165405273
Women,Jumpsuits & Rompers,New Orleans LA,172,61,111,0.3546511627906977,29.0,54.0,96,5584.49800190842,10766.699979782104
Women,Jumpsuits & Rompers,Savannah GA,83,33,50,0.39759036144578314,30.0,56.8,47,3146.795798935071,5813.219974517822
Women,Leggings,Memphis TN,1560,578,982,0.37051282051282053,32.0,55.0,873,15782.601270829573,26844.669821739197
Women,Leggings,Port Authority of New York/New Jersey NY/NJ,516,184,332,0.35658914728682173,31.0,54.0,297,6639.90038113666,11008.899927139282
Women,Maternity,Mobile AL,1170,437,733,0.3735042735042735,29.0,55.0,650,16796.405422408123,37949.390040397644
Women,Maternity,New Orleans LA,1194,427,767,0.3576214405360134,29.0,54.0,671,20786.41373342892,47598.88006210327
Women,Maternity,Chicago IL,1449,551,898,0.3802622498274672,30.0,55.0,800,23767.562718276014,53430.11008453369
Women,Maternity,Savannah GA,197,77,120,0.39086294416243655,30.0,54.0,109,3327.426889501958,7565.559946060181
Women,Outerwear & Coats,Memphis TN,1181,443,738,0.37510584250635054,29.0,54.0,670,54600.93040986415,121752.99960708618
Men,Outerwear & Coats,Philadelphia PA,1594,601,993,0.37703889585947303,30.0,54.0,887,55172.74917722398,124415.13022994995
Men,Outerwear & Coats,Houston TX,3479,1285,2194,0.3693590112101178,30.0,55.0,1941,189522.85845452896,432467.96841812134
Men,Outerwear & Coats,Charleston SC,662,238,424,0.3595166163141994,33.0,54.0,372,20231.02425406445,46234.95976829529
Women,Outerwear & Coats,Port Authority of New York/New Jersey NY/NJ,1020,374,646,0.36666666666666664,31.0,53.69999999999999,558,26296.42469679665,58668.62970161438
Women,Swim,Charleston SC,358,134,224,0.3743016759776536,32.0,53.0,199,10936.291317658628,25712.709789276123
Women,Tops & Tees,Charleston SC,1659,616,1043,0.37130801687763715,30.0,54.0,921,8876.809116277964,15846.059999465942
Men,Tops & Tees,Charleston SC,1290,488,802,0.37829457364341085,31.0,54.0,720,20333.714755920802,36012.90014362335
Women,Tops & Tees,Philadelphia PA,732,270,462,0.36885245901639346,27.0,54.099999999999994,415,8287.86628002565,14818.920091629028
Men,Tops & Tees,Houston TX,2548,938,1610,0.36813186813186816,30.0,55.0,1428,47535.58735681299,85267.10015296936
Women,Tops & Tees,Houston TX,1367,507,860,0.37088514996342353,34.0,56.0,760,29440.67526439304,52715.490087509155
Men,Tops & Tees,Philadelphia PA,2428,904,1524,0.3723228995057661,29.0,54.0,1353,31751.273171393786,56382.640316963196
Men,Fashion Hoodies & Sweatshirts,Los Angeles CA,2357,880,1477,0.37335596096733137,30.0,53.0,1315,46956.34635270597,84689.77028656006
Women,Fashion Hoodies & Sweatshirts,Philadelphia PA,1734,644,1090,0.37139561707035756,30.0,53.0,974,28198.207461294587,59391.86985397339
Women,Fashion Hoodies & Sweatshirts,Charleston SC,2076,773,1303,0.37235067437379576,28.0,53.0,1161,21996.75699998431,46390.55998802185
Women,Fashion Hoodies & Sweatshirts,Houston TX,614,226,388,0.36807817589576547,30.0,56.0,337,12977.899368739982,27743.18991279602
Women,Intimates,Charleston SC,4107,1534,2573,0.3735086437789141,30.0,54.0,2291,29839.83511645234,56567.909938097
Women,Intimates,Houston TX,5582,2076,3506,0.37190970978144033,31.0,54.0,3122,55273.67976272766,104343.54046273232
Women,Intimates,Philadelphia PA,1011,367,644,0.3630069238377844,30.0,52.0,569,15204.303907214375,28042.729966163635
Men,Pants,Philadelphia PA,2785,1038,1747,0.37271095152603234,28.0,53.0,1546,46791.84531850474,102233.1611251831
Men,Pants,Charleston SC,2059,765,1294,0.3715395823215153,31.0,54.0,1158,14713.780215715255,32714.309948921204
Men,Pants,Houston TX,1532,575,957,0.37532637075718017,29.0,52.0,844,28137.733375216663,60863.14009284973
Women,Pants & Capris,Charleston SC,1316,490,826,0.3723404255319149,29.0,54.0,729,17304.836159572027,32311.850170135498
Women,Pants & Capris,Houston TX,1637,603,1034,0.3683567501527184,30.0,54.0,926,38139.900315577164,72624.52021598816
Women,Pants & Capris,Philadelphia PA,560,213,347,0.38035714285714284,30.0,55.0,309,11640.920140086804,22528.6003074646
Men,Socks,Los Angeles CA,1240,466,774,0.3758064516129032,30.0,54.0,693,7320.683695551578,12172.939926147461
Women,Socks & Hosiery,Memphis TN,1101,408,693,0.37057220708446864,30.0,53.0,622,5345.152935951551,13543.269938468933
Women,Socks & Hosiery,Port Authority of New York/New Jersey NY/NJ,860,319,541,0.37093023255813956,31.0,56.0,484,4215.126455572232,10331.479979038239
Women,Suits,Charleston SC,515,190,325,0.36893203883495146,30.0,53.0,286,26870.08871367346,44684.630027770996
Women,Suits,Houston TX,519,199,320,0.3834296724470135,34.0,55.0,289,23907.210437363214,39606.47023773193
Women,Suits,Philadelphia PA,422,149,273,0.35308056872037913,34.0,54.20000000000002,245,19611.292095092896,32549.84976196289
Men,Suits & Sport Coats,Los Angeles CA,1554,579,975,0.37258687258687256,30.0,53.0,866,36274.72617780244,91223.25970458984
Women,Sweaters,Los Angeles CA,313,115,198,0.36741214057507987,27.0,53.60000000000001,176,6309.65531428161,13917.29991722107
Men,Sweaters,Savannah GA,948,359,589,0.37869198312236285,33.0,55.0,524,28275.681520350772,57425.62000846863
Men,Sweaters,New Orleans LA,1327,488,839,0.3677467972871138,30.0,53.0,727,40890.49119531979,81472.51984596252
Men,Sweaters,Chicago IL,1623,595,1028,0.36660505237215035,30.0,53.0,920,47424.59236439458,94108.26973342896
Men,Sweaters,Mobile AL,2281,844,1437,0.3700131521262604,29.0,54.0,1279,69592.2137596898,137567.48001098633
Women,Jeans,Mobile AL,3130,1151,1979,0.36773162939297127,30.0,54.0,1774,116017.37838926198,215118.92042541504
Women,Plus,Los Angeles CA,778,291,487,0.3740359897172236,30.0,53.0,424,6816.944876182336,13454.430138587952
Women,Shorts,Chicago IL,1491,544,947,0.36485580147551977,32.0,55.0,842,17743.725064079405,35806.71017551422
Women,Shorts,New Orleans LA,750,276,474,0.368,28.0,54.0,422,10030.061221432044,20136.480081558228
Men,Shorts,Memphis TN,2968,1090,1878,0.36725067385444743,31.0,55.0,1668,40678.57540753177,81322.48051834106
Men,Shorts,Port Authority of New York/New Jersey NY/NJ,2234,841,1393,0.3764547896150403,31.0,54.0,1247,37430.06797644557,74839.61014461517
Women,Shorts,Mobile AL,1566,586,980,0.37420178799489145,30.5,55.0,861,24945.95190602438,50122.43013381958
Women,Shorts,Savannah GA,1081,397,684,0.36725254394079554,29.0,53.0,615,14197.607158938827,28034.10999774933
Men,Underwear,Charleston SC,1327,484,843,0.36473247927656366,29.0,53.0,742,10212.030077382007,21957.250034332275
Men,Underwear,Houston TX,5037,1856,3181,0.3684732975977765,30.0,54.0,2835,42557.36297964211,91106.80033683777
Men,Underwear,Philadelphia PA,1042,386,656,0.3704414587332054,32.0,54.0,566,7072.9036369790165,14973.799992084503
Women,Blazers & Jackets,Memphis TN,728,277,451,0.3804945054945055,32.0,53.400000000000006,414,29649.53602693643,79394.17011260986
Women,Blazers & Jackets,Port Authority of New York/New Jersey NY/NJ,275,103,172,0.37454545454545457,29.0,56.0,156,8880.557259070541,23091.390048980713
Women,Clothing Sets,Los Angeles CA,21,8,13,0.38095238095238093,40.5,54.8,11,461.55218188790417,715.8700218200684
Women,Dresses,Mobile AL,1308,488,820,0.3730886850152905,30.0,52.30000000000001,731,35585.18627702754,78325.37005233765
Women,Dresses,New Orleans LA,1348,503,845,0.3731454005934718,30.0,54.0,727,24646.21916502009,54853.55021286011
Women,Dresses,Savannah GA,924,341,583,0.36904761904761907,28.0,54.0,516,25324.657048213594,55956.93021392822
Women,Dresses,Chicago IL,1285,464,821,0.3610894941634241,31.0,54.0,743,39071.15753921902,87797.35034179688
Women,Skirts,Los Angeles CA,374,135,239,0.3609625668449198,26.0,52.0,209,5013.748067060036,12371.510078430176
Men,Sleep & Lounge,Chicago IL,3339,1253,2086,0.3752620545073375,30.0,53.0,1844,59540.8890251613,146978.32027435303
Men,Sleep & Lounge,New Orleans LA,915,341,574,0.3726775956284153,31.0,55.0,503,8398.814110071478,21046.549966812134
Men,Sleep & Lounge,Mobile AL,2216,824,1392,0.37184115523465705,30.0,55.0,1226,20530.083569851533,51722.59029865265
Women,Sleep & Lounge,Los Angeles CA,778,289,489,0.37146529562982006,30.0,55.0,426,13785.442508348742,22637.850135803223
Men,Sleep & Lounge,Savannah GA,669,253,416,0.3781763826606876,31.0,54.0,360,7369.338472992635,18560.860244750977
Women,Swim,Memphis TN,2567,938,1629,0.3654070899883132,30.0,54.0,1452,42318.10577932013,100025.81072044373
Men,Swim,Memphis TN,2289,853,1436,0.37265181301878547,30.0,54.0,1293,42607.92607430638,70629.36997413635
Men,Accessories,Mobile AL,1726,633,1093,0.3667439165701043,30.0,54.0,970,34091.80145274045,83717.7800207138
Women,Accessories,Savannah GA,639,242,397,0.37871674491392804,31.5,53.0,353,5756.758269884872,14151.999832630157
Women,Accessories,Chicago IL,2125,791,1334,0.37223529411764705,31.0,55.0,1181,33326.57261552138,82909.14007771015
Men,Accessories,Chicago IL,2547,941,1606,0.36945425991362385,30.0,53.0,1435,46551.41002995402,116758.26980042458
Women,Accessories,Mobile AL,1427,508,919,0.3559915907498248,29.0,54.0,823,22387.83213978615,55487.95004796982
Men,Accessories,New Orleans LA,841,318,523,0.37812128418549346,29.0,52.0,457,7579.886439073126,18922.280053138733
Men,Accessories,Savannah GA,1217,448,769,0.36811832374691866,33.0,54.0,670,9523.465618473278,24093.199682474136
Women,Accessories,New Orleans LA,909,341,568,0.37513751375137516,30.0,54.0,511,6025.977455993221,14794.449818849564
Women,Active,Memphis TN,2057,764,1293,0.3714146815751094,30.0,54.0,1134,32066.6652562671,78216.38009023666
Men,Active,New Orleans LA,172,67,105,0.38953488372093026,30.0,50.0,90,1820.9182286950172,4438.710050582886
Men,Active,Savannah GA,956,358,598,0.37447698744769875,29.0,55.0,528,13943.202704549867,33545.070011138916
Men,Active,Chicago IL,2437,911,1526,0.3738202708247846,30.0,53.0,1331,32012.008376851292,76025.41974163055
Women,Active,Port Authority of New York/New Jersey NY/NJ,937,345,592,0.368196371398079,28.0,52.0,536,10743.999616015204,25695.66008424759
Men,Active,Mobile AL,619,225,394,0.36348949919224555,29.0,53.0,333,7572.06391362232,18122.98011779785
Women,Jeans,Los Angeles CA,2460,907,1553,0.36869918699186993,29.0,54.0,1370,51471.71794092923,95509.67161750793
Men,Jeans,Port Authority of New York/New Jersey NY/NJ,2087,777,1310,0.37230474365117394,29.0,54.0,1138,80342.10458083155,150102.80974197388
Men,Jeans,Memphis TN,1864,675,1189,0.3621244635193133,31.0,54.60000000000002,1088,52743.29950753988,99069.65002059937
Women,Jumpsuits & Rompers,Los Angeles CA,285,110,175,0.38596491228070173,31.0,55.0,154,6030.103165840461,11235.69999885559
Women,Leggings,Philadelphia PA,960,354,606,0.36875,29.0,54.0,528,5502.237321660632,9117.969929218292
Women,Leggings,Charleston SC,868,321,547,0.36981566820276496,29.0,55.0,478,4950.741990016051,8140.789972782135
Women,Leggings,Houston TX,374,138,236,0.3689839572192513,30.5,52.3,218,4890.629664332462,8185.100023269653
Women,Maternity,Los Angeles CA,729,270,459,0.37037037037037035,31.0,54.099999999999994,392,11193.326254494195,25599.29998397827
Women,Outerwear & Coats,Houston TX,1671,616,1055,0.3686415320167564,28.0,54.0,923,90454.79939925502,200409.92991256714
Men,Outerwear & Coats,Memphis TN,1979,729,1250,0.3683678625568469,29.0,54.0,1099,82799.37402649247,188622.16060829163
Women,Outerwear & Coats,Philadelphia PA,1352,493,859,0.3646449704142012,29.0,54.0,754,39031.5484305254,87419.72003555298
Women,Outerwear & Coats,Charleston SC,525,198,327,0.37714285714285717,29.0,54.0,292,10869.105894688537,23409.45986557007
Men,Outerwear & Coats,Port Authority of New York/New Jersey NY/NJ,2282,848,1434,0.37160385626643294,32.0,55.0,1254,67208.58885866865,152041.45956420898
Women,Swim,Port Authority of New York/New Jersey NY/NJ,1170,440,730,0.37606837606837606,29.0,54.0,642,16579.641386178835,39037.89994430542
Men,Swim,Port Authority of New York/New Jersey NY/NJ,1237,469,768,0.3791430881164107,31.0,54.0,683,22417.330476132294,37619.42014694214
Women,Tops & Tees,Port Authority of New York/New Jersey NY/NJ,1281,473,808,0.3692427790788447,31.0,54.80000000000001,723,16142.328284323294,28864.110199451447
Men,Tops & Tees,Port Authority of New York/New Jersey NY/NJ,2288,841,1447,0.36756993006993005,30.0,55.0,1299,28863.33525524217,51842.66033554077
Men,Tops & Tees,Memphis TN,2738,1027,1711,0.37509130752374,31.0,54.39999999999998,1548,36148.307049391864,64428.08039569855
Women,Tops & Tees,Memphis TN,2056,763,1293,0.3711089494163424,32.0,54.80000000000007,1135,30894.385799647054,55337.750217437744
Men,Fashion Hoodies & Sweatshirts,Mobile AL,2515,929,1586,0.36938369781312125,32.0,54.0,1418,47954.49475773622,87862.60000801086
Women,Fashion Hoodies & Sweatshirts,Memphis TN,1944,717,1227,0.36882716049382713,30.0,53.0,1103,30119.666716439446,64622.31064033508
Men,Fashion Hoodies & Sweatshirts,Savannah GA,1385,524,861,0.3783393501805054,31.0,55.0,767,25883.49745790744,47330.1201171875
Men,Fashion Hoodies & Sweatshirts,New Orleans LA,971,360,611,0.3707518022657055,30.0,54.10000000000002,546,17239.727396476424,31756.830270767212
Men,Fashion Hoodies & Sweatshirts,Chicago IL,1960,721,1239,0.3678571428571429,31.0,54.0,1119,41174.80433201936,75117.02995204926
Women,Fashion Hoodies & Sweatshirts,Port Authority of New York/New Jersey NY/NJ,1594,596,998,0.3739021329987453,29.0,54.5,894,27757.333391889442,59541.57993888855
Women,Intimates,Memphis TN,3975,1480,2495,0.3723270440251572,31.0,54.0,2217,53320.53064566779,100419.7202630043
Women,Intimates,Port Authority of New York/New Jersey NY/NJ,2740,1020,1720,0.3722627737226277,28.0,53.0,1530,38783.59620422195,72730.29033470154
Men,Pants,Memphis TN,2012,745,1267,0.3702783300198807,30.0,54.0,1109,34011.191181963106,73794.64015007019
Men,Pants,Port Authority of New York/New Jersey NY/NJ,2944,1076,1868,0.3654891304347826,30.0,54.0,1655,40852.60011135738,88529.03105926514
Women,Pants & Capris,Memphis TN,986,369,617,0.3742393509127789,33.0,55.19999999999999,544,19528.360533648556,37841.40002441406
Women,Pants & Capris,Port Authority of New York/New Jersey NY/NJ,480,181,299,0.3770833333333333,26.0,53.0,266,6017.418706190292,11401.909976005554
Men,Socks,Chicago IL,2880,1073,1807,0.37256944444444445,30.0,53.0,1609,20315.43325326664,33616.83010149002
Men,Socks,New Orleans LA,1269,464,805,0.3656422379826635,28.0,53.0,699,7645.677321254337,12723.210037231445
Men,Socks,Mobile AL,1228,453,775,0.3688925081433225,29.0,54.0,689,7462.947338716399,12515.590003967285
Men,Socks,Savannah GA,591,219,372,0.37055837563451777,30.0,53.0,326,11214.642399922559,18299.829957962036
Women,Socks & Hosiery,Houston TX,1245,468,777,0.3759036144578313,28.0,53.0,707,5980.833627951606,14959.120018482208
Women,Socks & Hosiery,Philadelphia PA,790,294,496,0.3721518987341772,29.0,54.0,444,2805.881254533442,6967.929965019226
Women,Socks & Hosiery,Charleston SC,270,100,170,0.37037037037037035,29.0,53.10000000000001,153,847.8480497371077,2130.8799834251404
Women,Suits,Memphis TN,788,283,505,0.35913705583756345,25.0,54.80000000000001,448,28996.92311283966,47401.86000442505
Women,Suits,Port Authority of New York/New Jersey NY/NJ,34,12,22,0.35294117647058826,37.5,53.900000000000006,17,273.4831874617352,439.7799949645996
