brand,categories,products,orders,items,net_sales_value,net_profit_value,net_margin_rate,observed_return_rate
GUINNESS,2,7,50,50,1413.350009918213,613.5078548824179,0.4340806244575751,0.35714285714285715
US Fairytailes,2,21,104,104,9224.210102081299,4988.879062058455,0.540846208710358,0.3611111111111111
Anvil,2,7,54,54,873.4899997711182,400.0403608370529,0.4579793253979737,0.2857142857142857
Mary Green,2,10,65,65,3612.4500007629395,1585.3471506418011,0.438856496368664,0.34615384615384615
Maple Clothing,5,11,57,57,1800.2600231170654,1010.9062880627474,0.5615334868750853,0.1111111111111111
By The Sword Inc.,1,1,6,6,225.0,95.40000013075768,0.42400000058114523,0.0
Spoylt,1,1,7,7,225.0,102.60000005364418,0.4560000002384186,0.5
Croft & Barrow,1,5,48,48,1275.0,768.1050013471395,0.602435295174227,0.13636363636363635
Sleepyheads,1,1,4,4,90.0,39.329999908804886,0.436999998986721,
Axis,2,3,20,20,513.4000015258789,273.7172006281719,0.533146084563022,0.25
Larry Levine,1,14,66,66,4206.659957885742,2328.855822720706,0.5536116173010531,0.2608695652173913
ExOfficio,8,48,281,282,11759.65998840332,6558.459394587782,0.5577082501581972,0.3557692307692308
CW-X,3,7,57,57,4175.0,2480.5999969504774,0.5941556878923299,0.5
Salt Life,1,2,20,20,783.0,392.8229998899624,0.5016896550318805,0.1
Elle Macpherson Intimates,2,2,13,13,542.0,286.6340000554919,0.5288450185525682,0.16666666666666666
ROPA VOGA,3,3,16,16,538.0,270.1999994367361,0.5022304822244166,0.2222222222222222
Icebreaker,8,68,429,430,36947.250118255615,19791.942276802314,0.5356810645841036,0.3120567375886525
Glamour,2,2,20,20,857.6000061035156,428.30800170835846,0.4994263044077684,0.125
WARMEN,1,19,90,90,1349.6200122833252,790.0715691032516,0.5854029741057161,0.4
Bloom's Outlet,1,11,54,54,837.6199970245361,485.16172698165997,0.579214594571634,0.47368421052631576
For Two Fitness,1,2,18,18,779.8400268554688,457.69622511712487,0.5869104038717825,0.09090909090909091
Coolibar,7,27,146,146,5691.630046844482,3011.0379989254534,0.5290291136534452,0.24489795918367346
The Cat's Pajamas,1,15,100,100,6056.0,2418.8139914646745,0.39940785856418004,0.25
Belabumbum,1,5,23,23,1169.0,678.4639983810484,0.5803798104200586,0.16666666666666666
LAT Sportswear,6,11,71,71,1550.5699977874756,806.8028991360836,0.5203266542544478,0.47058823529411764
Scala,1,5,31,31,1555.8399753570557,913.2783274652774,0.5870001683532303,0.45454545454545453
Vocal,1,1,6,6,187.9600067138672,76.68768270564796,0.4079999998211861,1.0
Diesel,18,217,1447,1456,149034.2198791504,74961.76083642562,0.5029835489943919,0.34146341463414637
Tasso Elba,2,21,143,143,9961.16999053955,5907.381836696472,0.593040962287252,0.3137254901960784
Scotch & Soda,5,22,147,147,14613.549964904785,7747.356937261169,0.5301488656669227,0.3018867924528302
Marc Ecko,3,8,35,35,1180.0000171661377,666.8149834313828,0.5650974353651207,0.16666666666666666
KUT from the Kloth,8,39,178,178,8385.409996032715,3956.187204223517,0.4717941288613507,0.2857142857142857
Gold Toe,4,79,533,533,8771.279969215393,4071.088412315714,0.46413846401027375,0.34134615384615385
Baby Be Mine,2,11,62,62,2655.330032348633,1415.483253349558,0.5330724377404668,0.11764705882352941
Betsey Johnson,7,51,306,307,8588.990009307861,4219.816875494042,0.49130536546451203,0.21495327102803738
Jack,8,14,90,90,4748.729995727539,2534.304256630473,0.5336804280114056,0.11764705882352941
Paul Frank,2,31,176,176,4622.5499839782715,2156.9472582540916,0.4666141557646877,0.2597402597402597
Julian Taylor,1,5,28,28,1128.000015258789,604.8120088101329,0.5361808516211546,0.375
NOM,1,16,87,87,4265.150009155273,2389.7599785999346,0.5602991626250524,0.23076923076923078
Creekwood,1,1,3,3,96.0,45.50399994850159,0.4739999994635582,1.0
London Times,1,14,86,86,3967.590015411377,2185.801981580603,0.5509142761954373,0.3103448275862069
Steve and Barrys,1,1,6,6,243.95000457763672,156.37195221087262,0.640999997034669,0.0
Coach,2,6,41,41,4202.990013122559,2393.122365046197,0.5693856891342591,0.5
Cool-jams Wicking Sleepwear,2,9,52,52,2367.0,955.4429971091449,0.4036514563198753,0.43478260869565216
Panache,6,15,101,101,4429.080001831055,2265.645599633181,0.5115386488156741,0.3142857142857143
Barbour,2,18,132,132,30893.890014648438,16873.37176240483,0.546171807901312,0.1111111111111111
Glamourmom,2,11,57,57,2362.0,1260.0899976128712,0.5334843342984213,0.15
FursNewYork,1,2,15,15,453.6000061035156,271.6980042998642,0.5989814829011714,0.2
Band Merch,1,1,9,9,248.75,118.1562499073334,0.47499999962747097,0.5
Montefino,1,1,12,12,499.5000076293945,268.2315036373715,0.5369999990798532,0.2
Keep On Truckin' Apparel,1,1,3,3,49.950000762939446,24.72525042975693,0.4950000010430811,1.0
C1RCA,1,3,23,23,1230.7500038146973,555.8850004327744,0.4516636186957663,0.125
Frogg Toggs,2,2,11,11,604.7099876403809,352.14947171350616,0.5823443946868103,0.0
Mishka,1,1,4,4,199.80000305175778,89.51040119934488,0.4479999991599469,0.0
BB,1,2,12,12,549.8900184631348,331.88362023380705,0.6035454528914256,0.0
GST,1,2,16,16,599.8800201416016,380.32393365472734,0.634000001475215,0.25
Aftco,1,5,42,42,1624.7099914550781,684.1975050114,0.4211197743657857,0.3125
Rivers' End,2,2,21,21,789.7700214385986,422.2162415785161,0.5346065691496263,0.16666666666666666
Grandoe,1,2,13,13,729.6499900817871,449.9440955924667,0.6166574408395895,0.0
Antonio Ansaldi,1,1,8,8,299.9400100708008,152.06958489136218,0.5069999992847443,0.0
Elan,4,8,50,50,1530.620044708252,793.3836249928174,0.518341326925483,0.3333333333333333
So So Happy,1,2,8,8,255.59000778198242,130.84593371320113,0.5119368118053048,0.0
Luxury Lane,2,4,30,30,1204.7399883270264,655.3090352085969,0.5439422958962274,0.07692307692307693
Carole Hochman,2,28,179,180,9092.76001739502,3753.556635043473,0.4128071815227372,0.3225806451612903
London Fog,1,34,199,199,15604.189998626709,8536.424682731751,0.5470597758347613,0.36507936507936506
BUDSHOP,1,2,9,9,455.9200134277344,213.78851584270615,0.4689167168499233,0.5
Saucony,5,7,49,49,2412.6000061035156,1375.1757012144524,0.5699973877706476,0.25
Angry Birds,2,4,26,26,754.8899974822998,440.99576990206117,0.5841854725494642,0.25
Spring+Mercer,1,7,51,51,1933.9000129699707,955.578305468789,0.4941198092249183,0.23529411764705882
SnowAngel,1,1,7,7,300.0,161.09999902546406,0.5369999967515469,0.0
Family Guy,2,3,18,18,409.95999908447266,239.54340033020674,0.5843092030079954,0.0
Sesame Street,1,2,13,13,382.0,229.3620005622506,0.6004240852414937,0.3333333333333333
SpongeBob SquarePants,1,1,7,7,250.0,154.50000017881393,0.6180000007152557,0.4
Hollister,4,7,46,46,1767.3999977111816,886.340310902589,0.5014938961471186,0.2777777777777778
Super Mario,1,1,4,4,150.0,89.10000021569431,0.594000001437962,0.5
Moonar,1,7,41,41,2282.7699661254883,1263.9874136475084,0.5537077464677073,0.2
Tahari,1,24,137,137,13713.320041656494,5337.89921274379,0.38924922604657597,0.391304347826087
Bud Light,1,1,6,6,201.9600067138672,115.92504348209408,0.5739999981597065,0.6666666666666666
Planet Earth,4,7,47,47,1411.6600036621094,708.8361712545955,0.5021295279428065,0.17647058823529413
What Katie Did,1,6,32,32,1619.0,726.5350008141249,0.44875540507357936,0.2857142857142857
Jessica Simpson,6,26,152,152,9711.98996925354,5325.731809215454,0.5483666916950891,0.24390243902439024
Hanky Panky,2,22,116,116,4683.629978179932,2229.773281989268,0.47607801905302577,0.3829787234042553
EcoGirl,1,1,5,5,208.0,119.1840001642704,0.5730000007897615,0.25
Lizatards,2,4,26,26,432.0,233.10399935394526,0.5395925910970955,0.25
Union Jeans,3,7,39,39,2030.4300117492676,941.3085659705331,0.46360059717575375,0.2
Aryn K,3,6,34,34,2530.0,1487.5929990531877,0.5879814225506671,0.26666666666666666
Prego,1,10,52,52,2091.599994659424,1150.2239932584762,0.5499254141305195,0.43478260869565216
BluePrint,1,1,8,8,317.9400100708008,176.13876602456514,0.5540000014007093,0.5
Miss Me,4,19,103,103,7475.779983520508,3494.7071359948577,0.4674705707897417,0.3404255319148936
Falcon Bay,3,6,28,28,705.1099834442139,321.38285141041627,0.4557910949446131,0.0
WESC,7,18,130,130,7824.069923400879,3746.445790267283,0.4788359289916494,0.24
Fratelli Orsini Everyday,1,4,24,24,1153.0000152587888,708.4436121053337,0.6144350413961831,0.2222222222222222
Blueprint,1,1,6,6,215.9600067138672,91.35108333232822,0.42300000227987766,0.0
John Hanly & Co.,1,2,12,12,333.0,197.74800060410053,0.5938378396519536,0.5
Analog,4,8,68,68,3058.959991455078,1518.115716348237,0.4962849205576251,0.2222222222222222
Tifosi,2,3,20,20,900.1799926757812,497.96585667916327,0.5531847638592386,0.2222222222222222
Jantzen,2,11,57,57,3467.720001220703,2006.6582337456443,0.5786678950547515,0.08695652173913043
PassionSpice,1,1,6,6,216.0,98.4960000514984,0.4560000002384185,0.5
John Sievers,2,4,24,24,944.450008392334,402.2962535923235,0.425958229676044,0.0
Red Dot,3,7,39,39,1898.2800006866455,857.7019205315429,0.45183108931311244,0.1
Farr West,1,8,40,40,1452.2499923706055,682.3669473962739,0.4698687904844815,0.2
HKNB Heidi Klum for New Balance,1,2,9,9,503.0,263.0810001567006,0.5230238571703789,0.6666666666666666
Brag Company,1,2,18,18,564.3500099182129,261.7915056650191,0.4638814584285355,0.3333333333333333
Iron Fist,2,4,32,32,1353.9499769210815,750.1761867802468,0.554064920837155,0.14285714285714285
Edwards,1,3,20,20,798.2499847412108,416.1975918428316,0.5213875349809886,0.25
Womama,1,5,25,25,799.8400135040283,450.76052671359423,0.5635633615513336,0.4
Undefeated,2,2,12,12,297.9300060272217,170.22813374202687,0.5713695508953645,1.0
ITC,1,1,7,7,329.9400100708008,159.36102455937447,0.4829999990761281,0.5
Fossil,3,5,32,32,1067.0,620.1560021936893,0.5812146224870566,0.18181818181818182
Scottevest,5,7,49,49,3665.0,1902.8149977046996,0.519185538255034,0.2857142857142857
Callaway,2,4,33,33,1249.2399826049805,695.0832285028195,0.5564048847151014,0.1
A. Byer,6,10,62,62,1586.8199977874756,860.6513785180416,0.5423749257748575,0.20833333333333334
Leonisa,4,10,52,52,1984.0,944.654999348335,0.4761365924134753,0.3684210526315789
Liberty,1,1,9,9,277.450008392334,126.51720389305353,0.4560000002384186,0.25
Sullen,1,1,5,5,223.80000305175778,95.11500104688105,0.42499999888241285,0.0
Suit Studio,1,11,53,53,3632.210048675537,1428.2550547931933,0.39321928953805896,0.2
Aqua,6,7,34,34,830.5400047302246,455.87384160023544,0.5488884809929319,0.1875
KNOTHE CORP.,1,27,173,173,3598.440010070801,2144.721599577137,0.5960142710660165,0.3148148148148148
Lord Daniels,2,2,25,25,1128.1600036621094,486.8803195850778,0.43157027195133696,0.16666666666666666
Fratelli,1,1,5,5,284.7500038146972,183.09425329298523,0.6430000029504299,
Grand River,2,4,25,25,1180.3299980163574,565.7647698816652,0.47932762094709097,0.5
LIJA,1,3,19,19,1008.1600036621094,493.8363225860226,0.48983923265372337,0.2727272727272727
Hudson,4,38,280,281,34992.55016326904,16381.319218811665,0.46813733615810593,0.308411214953271
L.A. Idol Jeans,1,8,49,49,2392.9999389648438,1152.1867207944326,0.48148213547086083,0.3125
Hocosa of Switzerland,2,2,19,19,952.0,558.8080001175404,0.5869831934007776,0.4444444444444444
Howe,3,5,31,31,2457.1900024414062,1391.4561730497198,0.566279437759067,0.625
Buffalo,2,3,15,15,988.4899940490723,441.705339124806,0.446848568810984,0.3333333333333333
Tehama,1,1,8,8,176.6400032043457,83.02080162448883,0.4700000006705522,0.6666666666666666
Dakota Grizzly,3,4,26,26,1234.6499633789062,594.1655829189174,0.48124213383754966,0.0
Throwdown,3,6,42,42,1405.8300094604492,608.5315924685632,0.43286285566070304,0.42857142857142855
Cashmere Pashmina Group,2,11,63,63,1418.8399963378906,784.8994097274209,0.5531979728181419,0.25
Zanerobe,4,12,83,83,4147.200004577637,1939.167029433054,0.4675846419976421,0.18181818181818182
GUESS,11,36,237,238,18195.100006103516,9330.316817819892,0.5127928296458966,0.25882352941176473
Sugoi,3,3,14,14,478.5,259.0339987920597,0.5413458699938553,0.5
Hee Grand,3,3,24,24,887.1400108337402,456.1286528560056,0.514156330777295,0.375
Diamond Chain,7,14,112,112,4738.389949798584,2321.756355789765,0.4899884518555626,0.24324324324324326
Delta Burke,2,3,14,14,579.8900146484375,346.91549786298924,0.5982436136157807,0.5
Marrikas,1,9,63,63,3161.4800872802734,1934.238027986633,0.6118140790349244,0.16
Longitude Swimwear,1,1,6,6,299.950008392334,179.6700543074019,0.598999997600913,0.0
Hi-Tec,2,4,23,23,1559.7099876403809,831.79338471844,0.5333000309735947,0.3333333333333333
Most Official Seven,2,2,12,12,540.090015411377,304.1870581234664,0.5632154815744418,0.0
Helmut Lang,1,1,10,10,419.9300117492676,210.38493590632865,0.5010000000474975,0.5
Petrol Jeans,1,1,6,6,239.9600067138672,101.50308338704528,0.42300000227987766,0.5
Drake,1,1,13,13,659.8900184631348,380.0966490221326,0.5759999975562095,0.3333333333333333
Roger Enterprises,1,1,5,5,119.9800033569336,62.98950158360599,0.5249999985098838,0.6666666666666666
ZeroXposur,1,5,24,24,2024.8200225830078,1117.9390184300169,0.552117722050127,0.4166666666666667
Rocky,2,4,23,23,470.5600109100342,285.6960969019699,0.6071406202780623,0.2727272727272727
Ambiguous,5,6,45,45,1700.5099868774414,801.9094710870911,0.4715699862248948,0.25
Elwood,3,5,33,33,1575.7999877929688,773.744792835173,0.49101713341098774,0.29411764705882354
Fred Perry,8,39,275,276,25384.3099899292,12496.960069177792,0.4923104104124064,0.31
VonZipper,2,4,19,19,1149.4999694824219,663.8882337036092,0.5775452382156513,0.16666666666666666
Bailey,1,2,13,13,904.0,585.9760005176067,0.6482035403955827,0.2
Zimmerli of Switzerland,4,9,50,50,6148.599956512451,3198.8250307932153,0.5202525865103804,0.2
LaborLooks,1,2,10,10,496.0,255.93599852919579,0.5159999970346689,0.0
Johnstons of Elgin,2,2,16,16,776.0,349.57599938102067,0.45048453528482046,0.5
J Valdi,1,2,17,17,489.46000480651855,288.410182136215,0.5892415709230876,0.16666666666666666
Marrakech,2,2,7,7,570.0,257.6519997641444,0.4520210522177972,0.0
Naturally by Derek Rose,1,11,84,84,5424.320007324219,3183.424651207649,0.5868799493594057,0.32142857142857145
Brandy Melville,2,2,9,9,510.0,274.5840002875775,0.5384000005638775,0.0
RocketWear,1,1,7,7,320.0,144.00000035762787,0.4500000011175871,
Abbey Dawn,1,2,12,12,984.0,520.2959997653961,0.528756097322557,0.2
Vigoss,2,11,70,70,2658.5200023651123,1243.5144419729343,0.46774688204965936,0.15384615384615385
Woodmont,1,1,4,4,256.0,96.25599956512451,0.3759999983012676,0.0
Paul Fredrick,5,63,378,380,44016.0,24841.40253267705,0.5643721040684535,0.26277372262773724
Shaper Corset,3,12,57,57,3144.5599575042725,1513.4444220500447,0.48128973290469956,0.3333333333333333
Stetson,2,2,13,13,779.9399871826172,407.52065442967057,0.5225025785660258,0.25
Parfait by Affinitas,1,1,7,7,260.0,123.50000014528632,0.47500000055879354,0.5
Mummy Darling,1,1,10,10,520.0,308.88000026345253,0.5940000005066395,0.2
Parfait,1,1,4,4,195.0,84.63000043295324,0.434000002220273,
Ouran High School,1,1,8,8,327.1500015258789,144.6003003063824,0.44199999887496233,0.6666666666666666
Portal 2,2,2,10,10,256.29001235961914,106.35117476298092,0.41496417977362243,0.2
Spa & Resort Inc.,1,1,5,5,197.84999084472656,119.69924473376757,0.6050000013783574,0.3333333333333333
Austin Reed,1,13,95,95,9267.370040893555,5637.824852959975,0.6083521892491928,0.3055555555555556
NEARLY NUDE,1,1,7,7,408.0,181.15200005471706,0.44400000013411045,0.0
Everjune,1,7,48,48,1498.6000061035156,686.0316540320282,0.4577816970759045,0.4090909090909091
Lilac Maternity,1,1,4,4,272.0,158.57599964737892,0.582999998703599,0.0
Serfontaine,1,1,7,7,274.2799987792969,159.35667884527862,0.5809999983757734,0.0
Ray-Ban,2,135,818,819,71031.6600265503,41206.83519392462,0.5801192760879063,0.2773972602739726
OURSURE.COM,1,5,31,31,2234.219955444336,1312.8336497912924,0.5876026872789252,0.3
Julbo,1,2,12,12,548.4099884033203,304.9054234934521,0.5559807989296025,0.5714285714285714
Stand Stewart,1,1,8,8,414.0,253.36800066009164,0.6120000015944242,0.25
Marcoliani Milano,3,18,103,103,3248.0,1402.5029966768343,0.43180510981429626,0.4594594594594595
La Perla,1,2,12,12,348.0,151.64399975538254,0.43575861998673143,0.42857142857142855
Union,2,2,23,23,1355.8999786376953,643.6906901492431,0.4747331663770467,0.0
Isaac Mizrahi Jeans,3,6,31,31,2229.240005493164,1198.0095459391316,0.5374071625249259,0.25
Turquoise,1,1,3,3,208.76998901367188,86.22200520755143,0.4129999987781048,
Klondike Sterling,2,7,42,42,1898.8999328613281,1106.8436632665462,0.5828867778191533,0.2222222222222222
Arnette,1,2,12,12,899.499969482422,501.37123372204604,0.5573888279401924,0.3333333333333333
Moda Essentials,3,3,17,17,519.8799896240234,271.5778738865656,0.5223857030599897,0.3333333333333333
King Formal Wear,2,42,271,272,10757.949768066406,6397.420378316036,0.5946691066829441,0.3163265306122449
Laguna Beach Jean Company,1,3,20,20,813.9599914550781,378.88283672134565,0.46548090901130723,0.5714285714285714
Desigual,1,1,6,6,419.9399871826172,227.60747281518996,0.5419999994337559,0.0
Montique,1,1,3,3,139.97999572753906,89.44721759112059,0.6390000022947788,1.0
Harajuku,1,1,2,2,69.98999786376953,34.08512881051645,0.48699999786913395,1.0
Fever,1,1,6,6,424.61997985839844,245.00572899204695,0.5770000014454125,0.0
Ladies First,1,2,9,9,514.0,221.6160009019077,0.43115953482861424,0.0
Foxcroft,1,1,9,9,432.0,181.4400007724762,0.42000000178813934,0.3333333333333333
Carrera,2,19,144,144,8905.77993774414,5035.806346907625,0.565453714566319,0.3333333333333333
FLATSEVEN,1,1,7,7,291.9200134277344,172.52472848388436,0.5910000018775463,0.5
Native Eyewear,2,5,22,22,1271.6699981689453,759.8315714248142,0.5975068787648383,0.3333333333333333
Donna Morgan,1,2,12,12,649.7600173950195,346.6992099695086,0.533580399975171,0.3333333333333333
Resorts Plus,2,3,23,23,849.8400039672852,466.5336902030306,0.5489664972525699,0.1111111111111111
Imaginary Foundation,1,2,16,16,1045.0,494.994999114424,0.4736794249898794,0.125
Rock & Republic,2,3,16,16,1157.9999771118164,588.8050686459109,0.5084672541310904,0.6
La Fee Verte,1,1,6,6,300.0,149.40000046044588,0.4980000015348196,0.6666666666666666
Hydraulic,1,1,4,4,225.0,128.24999964796007,0.5699999984353781,1.0
