cohort_month,months_since_first_order,cohort_size,active_customers,retention_rate
2023-01-01,16,1509,14,0.00927766732935719
2023-10-01,4,2171,103,0.04744357438968217
2021-06-01,17,700,16,0.022857142857142857
2020-05-01,34,412,7,0.01699029126213592
2023-03-01,0,1574,1574,1.0
2023-04-01,0,1575,1575,1.0
2022-11-01,7,1312,34,0.025914634146341462
2023-04-01,11,1575,59,0.03746031746031746
2020-01-01,42,309,6,0.019417475728155338
2021-07-01,6,763,14,0.01834862385321101
2020-12-01,34,554,13,0.023465703971119134
2021-01-01,19,632,7,0.011075949367088608
2023-05-01,4,1666,58,0.03481392557022809
2020-06-01,0,425,425,1.0
2021-12-01,1,921,35,0.038002171552660155
2022-03-01,6,1034,31,0.029980657640232108
2022-10-01,2,1321,40,0.03028009084027252
2021-12-01,14,921,15,0.016286644951140065
2019-10-01,0,227,227,1.0
2020-04-01,6,385,10,0.025974025974025976
2022-10-01,14,1321,32,0.024224072672218017
2022-01-01,9,1027,16,0.01557935735150925
2021-10-01,25,860,16,0.018604651162790697
2020-01-01,3,309,4,0.012944983818770227
2020-07-01,10,466,7,0.015021459227467811
2021-12-01,17,921,11,0.011943539630836048
2022-12-01,2,1359,42,0.03090507726269316
2023-03-01,1,1574,77,0.04891994917407878
2024-03-01,2,3071,113,0.036795831976554866
2023-04-01,10,1575,47,0.029841269841269842
2023-03-01,5,1574,40,0.025412960609911054
2021-06-01,1,700,29,0.041428571428571426
2022-10-01,19,1321,9,0.006813020439061317
2022-12-01,3,1359,41,0.03016924208977189
2023-07-01,6,1802,56,0.03107658157602664
2020-06-01,8,425,3,0.007058823529411765
2021-02-01,4,545,9,0.01651376146788991
2020-08-01,9,469,7,0.014925373134328358
2022-02-01,11,902,13,0.014412416851441241
2022-07-01,7,1132,27,0.023851590106007067
2021-02-01,36,545,14,0.025688073394495414
2021-10-01,2,860,15,0.01744186046511628
2020-08-01,17,469,3,0.006396588486140725
2022-12-01,10,1359,33,0.024282560706401765
2022-03-01,13,1034,18,0.017408123791102514
2022-04-01,3,1049,25,0.023832221163012392
2023-07-01,10,1802,19,0.010543840177580466
2020-02-01,9,300,3,0.01
2020-12-01,12,554,10,0.018050541516245487
2020-06-01,31,425,12,0.02823529411764706
2020-05-01,20,412,7,0.01699029126213592
2020-05-01,9,412,4,0.009708737864077669
2023-06-01,7,1667,59,0.03539292141571686
2023-02-01,4,1324,38,0.028700906344410877
2021-09-01,16,797,14,0.01756587202007528
2021-02-01,20,545,7,0.012844036697247707
2021-02-01,23,545,11,0.02018348623853211
2021-08-01,15,769,18,0.02340702210663199
2022-05-01,19,1115,31,0.02780269058295964
2021-09-01,23,797,14,0.01756587202007528
2021-05-01,16,685,14,0.020437956204379562
2021-12-01,20,921,17,0.018458197611292075
2020-07-01,31,466,9,0.019313304721030045
2022-03-01,17,1034,23,0.022243713733075435
2023-06-01,6,1667,61,0.03659268146370726
2022-12-01,7,1359,21,0.01545253863134658
2019-08-01,53,157,6,0.03821656050955414
2019-07-01,42,168,2,0.011904761904761904
2019-01-01,60,10,1,0.1
2022-11-01,3,1312,26,0.019817073170731708
2021-10-01,7,860,16,0.018604651162790697
2021-08-01,9,769,15,0.01950585175552666
2022-03-01,5,1034,26,0.025145067698259187
2022-01-01,23,1027,26,0.02531645569620253
2020-10-01,1,526,20,0.03802281368821293
2020-03-01,45,346,5,0.014450867052023121
2023-09-01,6,1982,74,0.03733602421796166
2020-02-01,3,300,3,0.01
2022-07-01,5,1132,33,0.029151943462897525
2020-05-01,11,412,8,0.019417475728155338
2022-07-01,6,1132,31,0.027385159010600707
2020-05-01,25,412,7,0.01699029126213592
2020-10-01,32,526,7,0.013307984790874524
2022-02-01,22,902,19,0.02106430155210643
2022-06-01,14,1143,20,0.017497812773403325
2021-08-01,22,769,14,0.018205461638491547
2022-11-01,14,1312,28,0.021341463414634148
2019-09-01,55,184,2,0.010869565217391304
2020-12-01,20,554,11,0.019855595667870037
2022-05-01,18,1115,20,0.017937219730941704
2021-05-01,6,685,11,0.016058394160583942
2021-05-01,29,685,10,0.014598540145985401
2021-01-01,7,632,15,0.023734177215189875
2022-03-01,18,1034,16,0.015473887814313346
2019-09-01,34,184,3,0.016304347826086956
2019-11-01,20,228,4,0.017543859649122806
2022-01-01,25,1027,20,0.019474196689386564
2020-07-01,25,466,5,0.01072961373390558
2021-12-01,29,921,5,0.0054288816503800215
2022-02-01,14,902,13,0.014412416851441241
2020-05-01,36,412,10,0.024271844660194174
2019-08-01,6,157,2,0.012738853503184714
2019-04-01,28,70,4,0.05714285714285714
2020-02-01,1,300,15,0.05
2021-09-01,26,797,14,0.01756587202007528
2020-08-01,18,469,1,0.0021321961620469083
2019-10-01,33,227,5,0.022026431718061675
2021-11-01,11,859,19,0.02211874272409779
2022-05-01,16,1115,26,0.023318385650224215
2023-04-01,13,1575,20,0.012698412698412698
2020-01-01,17,309,4,0.012944983818770227
2021-11-01,20,859,18,0.020954598370197905
2021-07-01,3,763,13,0.01703800786369594
2022-07-01,2,1132,27,0.023851590106007067
2021-01-01,16,632,9,0.014240506329113924
2019-12-01,2,259,4,0.015444015444015444
2022-06-01,11,1143,26,0.022747156605424323
2022-02-01,5,902,23,0.025498891352549888
2021-02-01,15,545,8,0.014678899082568808
2021-04-01,1,653,18,0.027565084226646247
2020-06-01,36,425,8,0.018823529411764704
2020-10-01,38,526,12,0.022813688212927757
2020-12-01,29,554,13,0.023465703971119134
2019-09-01,52,184,2,0.010869565217391304
2022-05-01,15,1115,30,0.026905829596412557
2023-02-01,11,1324,34,0.0256797583081571
2020-04-01,21,385,4,0.01038961038961039
2021-11-01,24,859,16,0.018626309662398137
2020-09-01,24,453,5,0.011037527593818985
2021-10-01,6,860,11,0.012790697674418604
2020-09-01,27,453,5,0.011037527593818985
2020-10-01,2,526,7,0.013307984790874524
2021-03-01,12,622,8,0.012861736334405145
2022-01-01,18,1027,22,0.021421616358325218
2021-11-01,27,859,11,0.012805587892898719
2022-02-01,2,902,17,0.018847006651884702
2020-12-01,13,554,15,0.02707581227436823
2020-09-01,6,453,3,0.006622516556291391
2020-06-01,12,425,11,0.02588235294117647
2022-05-01,4,1115,15,0.013452914798206279
2020-09-01,38,453,5,0.011037527593818985
2021-03-01,7,622,9,0.014469453376205787
2019-05-01,42,102,4,0.0392156862745098
2021-10-01,28,860,10,0.011627906976744186
2021-06-01,4,700,11,0.015714285714285715
2021-05-01,34,685,10,0.014598540145985401
2020-04-01,34,385,9,0.023376623376623377
2022-09-01,9,1170,30,0.02564102564102564
2021-04-01,14,653,12,0.018376722817764167
2023-07-01,7,1802,57,0.031631520532741396
2020-09-01,5,453,3,0.006622516556291391
2020-10-01,14,526,9,0.017110266159695818
2019-06-01,13,127,3,0.023622047244094488
2022-01-01,10,1027,19,0.018500486854917234
2022-05-01,2,1115,34,0.030493273542600896
2020-11-01,36,543,7,0.01289134438305709
2020-07-01,3,466,8,0.017167381974248927
2021-08-01,17,769,16,0.02080624187256177
2021-01-01,32,632,8,0.012658227848101266
2020-09-01,1,453,15,0.033112582781456956
2021-12-01,12,921,15,0.016286644951140065
2022-09-01,6,1170,30,0.02564102564102564
2021-09-01,30,797,14,0.01756587202007528
2020-01-01,43,309,7,0.022653721682847898
2021-01-01,15,632,10,0.015822784810126583
2021-09-01,27,797,15,0.018820577164366373
2020-11-01,24,543,12,0.022099447513812154
2022-07-01,10,1132,19,0.01678445229681979
2022-04-01,4,1049,20,0.019065776930409915
2022-01-01,2,1027,16,0.01557935735150925
2021-10-01,20,860,13,0.015116279069767442
2021-08-01,13,769,14,0.018205461638491547
2019-10-01,3,227,4,0.01762114537444934
2019-09-01,33,184,3,0.016304347826086956
2021-03-01,21,622,12,0.01929260450160772
2022-02-01,15,902,18,0.019955654101995565
2021-08-01,27,769,18,0.02340702210663199
2019-05-01,33,102,1,0.00980392156862745
2020-02-01,10,300,6,0.02
2019-12-01,33,259,2,0.007722007722007722
2019-02-01,1,25,2,0.08
2019-02-01,7,25,1,0.04
2020-04-01,36,385,6,0.015584415584415584
2020-04-01,2,385,5,0.012987012987012988
2019-04-01,61,70,1,0.014285714285714285
2019-11-01,54,228,1,0.0043859649122807015
2021-04-01,7,653,11,0.016845329249617153
2020-04-01,16,385,4,0.01038961038961039
2022-09-01,17,1170,23,0.019658119658119658
2022-02-01,27,902,6,0.0066518847006651885
2022-12-01,14,1359,37,0.027225901398086828
2019-08-01,37,157,4,0.025477707006369428
2021-09-01,18,797,10,0.012547051442910916
2021-07-01,29,763,21,0.027522935779816515
2021-05-01,3,685,14,0.020437956204379562
2020-11-01,32,543,13,0.02394106813996317
2021-09-01,31,797,7,0.00878293601003764
2021-02-01,28,545,5,0.009174311926605505
2020-06-01,11,425,10,0.023529411764705882
2019-10-01,41,227,2,0.00881057268722467
2020-06-01,29,425,5,0.011764705882352941
2020-12-01,38,554,3,0.005415162454873646
2020-09-01,33,453,8,0.017660044150110375
2021-08-01,18,769,15,0.01950585175552666
2020-03-01,1,346,6,0.017341040462427744
2019-01-01,47,10,1,0.1
2019-08-01,30,157,2,0.012738853503184714
2019-10-01,48,227,3,0.013215859030837005
2021-02-01,29,545,7,0.012844036697247707
2021-05-01,8,685,12,0.017518248175182483
2020-12-01,28,554,6,0.010830324909747292
2022-02-01,13,902,21,0.02328159645232816
2019-09-01,20,184,4,0.021739130434782608
2021-07-01,15,763,7,0.009174311926605505
2020-01-01,30,309,5,0.016181229773462782
2021-03-01,9,622,13,0.02090032154340836
2022-07-01,21,1132,19,0.01678445229681979
2022-11-01,18,1312,10,0.007621951219512195
2019-06-01,33,127,3,0.023622047244094488
2019-07-01,5,168,2,0.011904761904761904
2020-04-01,9,385,7,0.01818181818181818
2019-08-01,33,157,1,0.006369426751592357
2021-07-01,14,763,9,0.011795543905635648
2019-11-01,51,228,7,0.03070175438596491
2019-08-01,3,157,2,0.012738853503184714
2020-01-01,1,309,10,0.032362459546925564
2021-03-01,4,622,10,0.01607717041800643
2020-11-01,3,543,7,0.01289134438305709
2021-09-01,7,797,6,0.0075282308657465494
2019-12-01,16,259,3,0.011583011583011582
2021-02-01,10,545,7,0.012844036697247707
2019-10-01,12,227,3,0.013215859030837005
2020-02-01,48,300,2,0.006666666666666667
2019-11-01,21,228,6,0.02631578947368421
2019-04-01,16,70,1,0.014285714285714285
2021-01-01,3,632,6,0.00949367088607595
2019-04-01,36,70,1,0.014285714285714285
2022-08-01,19,1215,25,0.0205761316872428
2020-01-01,34,309,2,0.006472491909385114
2019-07-01,57,168,4,0.023809523809523808
2019-09-01,41,184,1,0.005434782608695652
2020-09-01,2,453,7,0.01545253863134658
2021-10-01,8,860,12,0.013953488372093023
2019-12-01,29,259,5,0.019305019305019305
2019-12-01,38,259,2,0.007722007722007722
2019-10-01,20,227,2,0.00881057268722467
2019-10-01,4,227,3,0.013215859030837005
2020-02-01,30,300,4,0.013333333333333334
2019-04-01,25,70,2,0.02857142857142857
2020-12-01,3,554,13,0.023465703971119134
2020-06-01,46,425,5,0.011764705882352941
2019-07-01,2,168,1,0.005952380952380952
2019-10-01,5,227,3,0.013215859030837005
2019-11-01,3,228,4,0.017543859649122806
2019-05-01,40,102,1,0.00980392156862745
2020-05-01,18,412,6,0.014563106796116505
2020-08-01,8,469,10,0.021321961620469083
2021-04-01,28,653,9,0.013782542113323124
2020-02-01,27,300,3,0.01
2020-06-01,43,425,8,0.018823529411764704
2020-05-01,7,412,5,0.012135922330097087
2019-11-01,52,228,9,0.039473684210526314
2020-04-01,4,385,10,0.025974025974025976
2020-09-01,39,453,6,0.013245033112582781
2020-06-01,32,425,6,0.01411764705882353
2020-11-01,18,543,10,0.01841620626151013
2019-09-01,9,184,2,0.010869565217391304
2020-01-01,28,309,3,0.009708737864077669
2020-04-01,43,385,5,0.012987012987012988
2021-02-01,6,545,3,0.005504587155963303
2020-03-01,9,346,3,0.008670520231213872
2020-11-01,39,543,7,0.01289134438305709
2020-05-01,22,412,5,0.012135922330097087
2020-02-01,23,300,5,0.016666666666666666
2019-04-01,1,70,1,0.014285714285714285
2019-05-01,13,102,1,0.00980392156862745
2020-12-01,5,554,3,0.005415162454873646
2020-02-01,7,300,7,0.023333333333333334
2021-01-01,35,632,5,0.007911392405063292
2019-06-01,24,127,2,0.015748031496062992
2020-03-01,28,346,3,0.008670520231213872
2021-02-01,12,545,5,0.009174311926605505
2021-03-01,36,622,11,0.017684887459807074
2019-04-01,21,70,2,0.02857142857142857
2020-06-01,37,425,5,0.011764705882352941
2019-04-01,58,70,1,0.014285714285714285
2021-08-01,20,769,7,0.009102730819245773
2020-02-01,19,300,2,0.006666666666666667
2020-08-01,42,469,3,0.006396588486140725
2019-12-01,34,259,2,0.007722007722007722
2019-08-01,24,157,3,0.01910828025477707
2019-05-01,1,102,3,0.029411764705882353
2020-02-01,32,300,4,0.013333333333333334
2021-04-01,27,653,9,0.013782542113323124
2020-01-01,13,309,4,0.012944983818770227
2021-02-01,14,545,6,0.011009174311926606
2020-06-01,34,425,7,0.01647058823529412
2019-10-01,28,227,2,0.00881057268722467
2020-07-01,34,466,7,0.015021459227467811
2021-08-01,33,769,2,0.002600780234070221
2020-12-01,40,554,9,0.016245487364620937
2020-04-01,47,385,5,0.012987012987012988
2019-12-01,36,259,1,0.003861003861003861
2020-08-01,38,469,6,0.01279317697228145
2021-01-01,40,632,2,0.0031645569620253164
2019-07-01,31,168,1,0.005952380952380952
2019-03-01,16,63,1,0.015873015873015872
2019-09-01,48,184,3,0.016304347826086956
2021-05-01,18,685,13,0.01897810218978102
2019-06-01,25,127,2,0.015748031496062992
2019-12-01,13,259,4,0.015444015444015444
2019-04-01,52,70,2,0.02857142857142857
2020-12-01,14,554,2,0.0036101083032490976
2020-05-01,43,412,3,0.007281553398058253
2021-06-01,12,700,12,0.017142857142857144
2019-08-01,5,157,3,0.01910828025477707
2020-04-01,32,385,8,0.02077922077922078
2020-02-01,20,300,4,0.013333333333333334
2020-11-01,26,543,5,0.009208103130755065
2019-10-01,23,227,2,0.00881057268722467
2019-10-01,37,227,4,0.01762114537444934
2019-10-01,15,227,6,0.02643171806167401
2021-01-01,24,632,10,0.015822784810126583
2020-01-01,46,309,6,0.019417475728155338
2020-02-01,51,300,3,0.01
2020-12-01,6,554,6,0.010830324909747292
2020-01-01,45,309,4,0.012944983818770227
2019-09-01,10,184,2,0.010869565217391304
2019-12-01,25,259,4,0.015444015444015444
2019-07-01,7,168,2,0.011904761904761904
2020-03-01,43,346,4,0.011560693641618497
2019-11-01,36,228,4,0.017543859649122806
2020-07-01,36,466,4,0.008583690987124463
2019-08-01,56,157,2,0.012738853503184714
2019-04-01,50,70,1,0.014285714285714285
2020-01-01,26,309,4,0.012944983818770227
2020-07-01,37,466,3,0.006437768240343348
2020-02-01,44,300,4,0.013333333333333334
2019-07-01,54,168,2,0.011904761904761904
2019-11-01,45,228,2,0.008771929824561403
2019-07-01,10,168,1,0.005952380952380952
2019-02-01,51,25,1,0.04
2021-02-01,25,545,4,0.007339449541284404
2019-09-01,21,184,1,0.005434782608695652
2019-07-01,9,168,2,0.011904761904761904
2019-04-01,30,70,1,0.014285714285714285
2020-03-01,24,346,2,0.005780346820809248
2020-11-01,10,543,6,0.011049723756906077
2019-06-01,14,127,1,0.007874015748031496
2019-12-01,37,259,1,0.003861003861003861
2019-03-01,3,63,1,0.015873015873015872
2021-01-01,31,632,2,0.0031645569620253164
2020-01-01,7,309,2,0.006472491909385114
2020-10-01,43,526,2,0.0038022813688212928
2019-05-01,16,102,2,0.0196078431372549
2021-03-01,38,622,2,0.003215434083601286
2019-11-01,9,228,1,0.0043859649122807015
2019-04-01,29,70,1,0.014285714285714285
2020-09-01,16,453,3,0.006622516556291391
2019-01-01,10,10,1,0.1
2019-06-01,41,127,1,0.007874015748031496
2019-04-01,60,70,1,0.014285714285714285
2019-12-01,44,259,1,0.003861003861003861
2022-01-01,28,1027,3,0.0029211295034079843
2019-04-01,23,70,2,0.02857142857142857
2019-10-01,45,227,2,0.00881057268722467
2019-01-01,49,10,1,0.1
2019-12-01,30,259,2,0.007722007722007722
2019-07-01,17,168,1,0.005952380952380952
2019-09-01,39,184,1,0.005434782608695652
2019-03-01,62,63,1,0.015873015873015872
2019-04-01,13,70,1,0.014285714285714285
2019-05-01,55,102,1,0.00980392156862745
2019-04-01,48,70,2,0.02857142857142857
2019-04-01,17,70,1,0.014285714285714285
2019-05-01,11,102,2,0.0196078431372549
2019-02-01,10,25,1,0.04
2019-10-01,14,227,1,0.004405286343612335
2019-02-01,42,25,1,0.04
2019-03-01,35,63,1,0.015873015873015872
2023-03-01,8,1574,48,0.030495552731893267
2022-01-01,7,1027,24,0.023369036027263874
2020-05-01,39,412,12,0.02912621359223301
2022-06-01,1,1143,44,0.03849518810148731
2023-05-01,8,1666,55,0.033013205282112844
2020-01-01,15,309,4,0.012944983818770227
2020-04-01,0,385,385,1.0
2019-07-01,18,168,5,0.02976190476190476
2022-01-01,8,1027,24,0.023369036027263874
2022-06-01,2,1143,27,0.023622047244094488
2022-01-01,20,1027,27,0.02629016553067186
2022-08-01,8,1215,21,0.01728395061728395
2020-03-01,22,346,5,0.014450867052023121
2023-02-01,6,1324,35,0.026435045317220542
2020-05-01,0,412,412,1.0
2023-02-01,8,1324,44,0.03323262839879154
2020-09-01,31,453,12,0.026490066225165563
2023-05-01,10,1666,64,0.03841536614645858
2021-04-01,15,653,14,0.021439509954058193
2021-03-01,28,622,11,0.017684887459807074
2019-09-01,13,184,3,0.016304347826086956
2023-03-01,9,1574,38,0.0241423125794155
2019-05-01,0,102,102,1.0
2021-12-01,2,921,17,0.018458197611292075
2023-07-01,1,1802,91,0.050499445061043285
2021-11-01,26,859,19,0.02211874272409779
2019-09-01,0,184,184,1.0
2022-06-01,16,1143,27,0.023622047244094488
2021-08-01,23,769,14,0.018205461638491547
2024-01-01,3,2572,159,0.06181959564541213
2022-10-01,9,1321,41,0.031037093111279335
2022-05-01,0,1115,1115,1.0
2023-09-01,7,1982,73,0.036831483350151364
2023-01-01,10,1509,38,0.025182239893969515
2023-02-01,14,1324,48,0.03625377643504532
2020-03-01,18,346,4,0.011560693641618497
2019-09-01,54,184,5,0.02717391304347826
2021-07-01,19,763,19,0.02490170380078637
2023-07-01,4,1802,64,0.03551609322974473
2020-06-01,44,425,5,0.011764705882352941
2020-08-01,41,469,9,0.019189765458422176
2021-07-01,0,763,763,1.0
2022-12-01,0,1359,1359,1.0
2022-04-01,12,1049,17,0.016205910390848427
2020-06-01,19,425,6,0.01411764705882353
2020-05-01,33,412,3,0.007281553398058253
2023-03-01,11,1574,45,0.028589580686149935
2022-05-01,20,1115,22,0.019730941704035873
2020-11-01,14,543,10,0.01841620626151013
2021-01-01,23,632,8,0.012658227848101266
2021-02-01,34,545,11,0.02018348623853211
2022-06-01,6,1143,24,0.02099737532808399
2022-10-01,11,1321,38,0.028766086298258896
2024-01-01,0,2572,2572,1.0
2021-12-01,28,921,21,0.02280130293159609
2022-09-01,1,1170,52,0.044444444444444446
2022-06-01,5,1143,23,0.020122484689413824
2022-11-01,13,1312,39,0.02972560975609756
2022-03-01,20,1034,20,0.019342359767891684
2020-11-01,9,543,8,0.014732965009208104
2022-09-01,19,1170,26,0.022222222222222223
2021-12-01,0,921,921,1.0
2023-12-01,2,2436,121,0.04967159277504105
2020-10-01,9,526,12,0.022813688212927757
2021-04-01,10,653,19,0.02909647779479326
2021-05-01,2,685,10,0.014598540145985401
2020-11-01,11,543,7,0.01289134438305709
2020-10-01,18,526,10,0.019011406844106463
2019-12-01,31,259,3,0.011583011583011582
2023-05-01,6,1666,47,0.028211284513805522
2021-07-01,25,763,7,0.009174311926605505
2023-11-01,3,2131,113,0.05302674800563116
2021-12-01,5,921,19,0.02062975027144408
2021-10-01,18,860,17,0.019767441860465116
2022-07-01,12,1132,40,0.0353356890459364
2021-09-01,25,797,17,0.02132998745294856
2023-03-01,6,1574,47,0.02986022871664549
2021-04-01,20,653,13,0.019908116385911178
2023-03-01,4,1574,45,0.028589580686149935
2019-08-01,1,157,5,0.03184713375796178
2020-02-01,25,300,5,0.016666666666666666
2021-03-01,11,622,12,0.01929260450160772
2019-12-01,22,259,3,0.011583011583011582
2020-12-01,9,554,6,0.010830324909747292
2022-09-01,8,1170,13,0.011111111111111112
2023-01-01,15,1509,43,0.028495692511597084
2023-01-01,1,1509,64,0.04241219350563287
2021-11-01,29,859,16,0.018626309662398137
2021-05-01,1,685,25,0.0364963503649635
2020-03-01,12,346,4,0.011560693641618497
2019-03-01,24,63,3,0.047619047619047616
2023-09-01,1,1982,126,0.06357214934409687
2023-12-01,3,2436,166,0.06814449917898194
2023-07-01,3,1802,59,0.032741398446170925
2021-02-01,1,545,19,0.03486238532110092
2021-07-01,8,763,15,0.019659239842726082
2020-09-01,17,453,4,0.008830022075055188
2023-01-01,6,1509,34,0.02253147779986746
2022-12-01,4,1359,35,0.025754231052244298
2021-06-01,22,700,12,0.017142857142857144
2022-08-01,16,1215,33,0.027160493827160494
2022-06-01,22,1143,27,0.023622047244094488
2020-02-01,47,300,4,0.013333333333333334
2021-06-01,21,700,13,0.018571428571428572
2020-08-01,23,469,10,0.021321961620469083
2021-06-01,19,700,10,0.014285714285714285
2019-12-01,8,259,5,0.019305019305019305
2021-11-01,3,859,13,0.015133876600698487
2019-03-01,30,63,4,0.06349206349206349
2020-01-01,33,309,3,0.009708737864077669
2019-10-01,43,227,4,0.01762114537444934
2023-08-01,3,2010,95,0.0472636815920398
2022-03-01,11,1034,21,0.020309477756286266
2020-02-01,22,300,2,0.006666666666666667
2019-09-01,24,184,2,0.010869565217391304
2020-11-01,4,543,12,0.022099447513812154
2022-11-01,17,1312,37,0.028201219512195123
2022-12-01,15,1359,39,0.02869757174392936
2022-12-01,16,1359,31,0.022810890360559236
2020-06-01,27,425,4,0.009411764705882352
2021-02-01,19,545,7,0.012844036697247707
2023-06-01,5,1667,52,0.03119376124775045
2019-10-01,10,227,5,0.022026431718061675
2019-11-01,48,228,4,0.017543859649122806
2021-10-01,5,860,15,0.01744186046511628
2022-08-01,15,1215,25,0.0205761316872428
2022-01-01,16,1027,21,0.02044790652385589
2019-06-01,1,127,3,0.023622047244094488
2021-08-01,11,769,12,0.015604681404421327
2021-06-01,31,700,12,0.017142857142857144
2020-05-01,38,412,8,0.019417475728155338
2021-04-01,32,653,14,0.021439509954058193
2022-09-01,11,1170,36,0.03076923076923077
2020-01-01,37,309,4,0.012944983818770227
2021-10-01,29,860,17,0.019767441860465116
2021-09-01,28,797,11,0.013801756587202008
2020-07-01,42,466,9,0.019313304721030045
2022-04-01,14,1049,19,0.01811248808388942
2020-08-01,36,469,4,0.008528784648187633
2023-06-01,11,1667,11,0.0065986802639472104
2019-07-01,29,168,6,0.03571428571428571
2020-06-01,42,425,7,0.01647058823529412
2022-11-01,6,1312,32,0.024390243902439025
2021-07-01,18,763,11,0.014416775884665793
2021-01-01,30,632,13,0.020569620253164556
2023-07-01,2,1802,71,0.039400665926748055
2019-10-01,13,227,6,0.02643171806167401
2022-01-01,1,1027,50,0.04868549172346641
2022-10-01,5,1321,29,0.02195306585919758
2020-10-01,19,526,5,0.009505703422053232
2022-05-01,23,1115,18,0.016143497757847534
2021-12-01,19,921,16,0.01737242128121607
2021-09-01,15,797,15,0.018820577164366373
2022-06-01,3,1143,17,0.014873140857392825
2023-04-01,7,1575,47,0.029841269841269842
2019-07-01,39,168,5,0.02976190476190476
2021-01-01,34,632,7,0.011075949367088608
2022-07-01,8,1132,34,0.030035335689045935
2022-04-01,8,1049,24,0.022878932316491896
2021-08-01,25,769,12,0.015604681404421327
2023-01-01,11,1509,36,0.02385685884691849
2020-11-01,7,543,9,0.016574585635359115
2020-08-01,40,469,9,0.019189765458422176
2022-04-01,7,1049,28,0.02669208770257388
2021-08-01,8,769,15,0.01950585175552666
