feature,coefficient,absolute_coefficient
categorical__category_Underwear,-0.13565373615140455,0.13565373615140455
categorical__brand_group_HUE,0.1297515648632502,0.1297515648632502
categorical__brand_group_Hot Topic,-0.12543069303008494,0.12543069303008494
categorical__country_Brasil,-0.1251940889457568,0.1251940889457568
categorical__category_Socks,-0.12503963956662312,0.12503963956662312
categorical__brand_group_Woman Within,0.12491867129576562,0.12491867129576562
categorical__brand_group_Bella,0.1245176808863664,0.1245176808863664
categorical__order_month_3,-0.12434947464963352,0.12434947464963352
categorical__order_month_1,-0.11914002684938277,0.11914002684938277
categorical__brand_group_Volcom,0.1145326695462609,0.1145326695462609
categorical__order_weekday_3,-0.11238523770584004,0.11238523770584004
categorical__country_South Korea,0.11069002316802368,0.11069002316802368
categorical__brand_group_Speedo,-0.10510929258688734,0.10510929258688734
categorical__acquisition_source_Email,-0.10236670175576842,0.10236670175576842
categorical__brand_group_Dockers,-0.10208241911461904,0.10208241911461904
categorical__brand_group_Not Your Daughter's Jeans,-0.09983198701611032,0.09983198701611032
categorical__brand_group_Paul Fredrick,-0.09913174799315579,0.09913174799315579
categorical__brand_group_Ray-Ban,0.09753045171419829,0.09753045171419829
categorical__brand_group_Port Authority,0.09691725598924408,0.09691725598924408
categorical__country_Belgium,0.09657723572177154,0.09657723572177154
categorical__order_month_10,0.0957318706732673,0.0957318706732673
categorical__brand_group_Life Is Good,0.09549478046350972,0.09549478046350972
categorical__brand_group_eVogues Apparel,-0.09533613448795203,0.09533613448795203
categorical__brand_group_Champion,0.09321661807357759,0.09321661807357759
categorical__brand_group_Carhartt,0.09285585043977469,0.09285585043977469
categorical__country_France,-0.09237842887711939,0.09237842887711939
categorical__category_Plus,-0.08972892874368613,0.08972892874368613
categorical__distribution_center_7,0.08640504783481834,0.08640504783481834
categorical__country_Germany,-0.08438615181814932,0.08438615181814932
categorical__country_United States,-0.07969128336366132,0.07969128336366132
categorical__distribution_center_5,-0.07911422930096144,0.07911422930096144
categorical__brand_group_Maidenform,-0.07835087505437859,0.07835087505437859
categorical__brand_group_TrendsBlue,-0.07834081197127839,0.07834081197127839
categorical__category_Jeans,-0.07757768000609254,0.07757768000609254
categorical__brand_group_Quiksilver,-0.07410658137294034,0.07410658137294034
categorical__order_weekday_7,0.0740134130691563,0.0740134130691563
categorical__age_band_45-54,0.07295197867338687,0.07295197867338687
categorical__brand_group_Fox,0.07228137176194557,0.07228137176194557
categorical__category_Leggings,-0.07196500573638585,0.07196500573638585
categorical__brand_group_SK Hat shop,0.06955101471969506,0.06955101471969506
categorical__brand_group_Joe's Jeans,-0.06839011401009909,0.06839011401009909
categorical__distribution_center_2,-0.06806850274452252,0.06806850274452252
categorical__brand_group_Mountain Hardwear,0.06794458767099747,0.06794458767099747
categorical__category_Shorts,-0.06752575491003367,0.06752575491003367
categorical__category_Active,-0.06610061886382444,0.06610061886382444
categorical__order_month_2,0.06546433398453672,0.06546433398453672
categorical__acquisition_source_Search,0.06477647144366397,0.06477647144366397
categorical__age_band_65+,-0.06219149136501788,0.06219149136501788
categorical__brand_group_Orvis,-0.061016980491654514,0.061016980491654514
categorical__acquisition_source_Organic,0.05772498575812747,0.05772498575812747
categorical__order_month_9,0.05638666569221128,0.05638666569221128
categorical__category_Intimates,0.05528231543831295,0.05528231543831295
categorical__category_Skirts,-0.05488927740283025,0.05488927740283025
categorical__brand_group_2b by bebe,-0.05441324385356196,0.05441324385356196
categorical__country_Japan,-0.05440378213755165,0.05440378213755165
categorical__brand_group_Michael Kors,0.052727554968394756,0.052727554968394756
categorical__country_China,-0.05219665023697083,0.05219665023697083
categorical__category_Maternity,0.05203210667146207,0.05203210667146207
categorical__order_month_8,0.04975940565969255,0.04975940565969255
categorical__category_Pants,-0.04946839799950599,0.04946839799950599
categorical__distribution_center_9,0.04812949928925336,0.04812949928925336
categorical__country_United Kingdom,-0.047122315776939275,0.047122315776939275
numeric__unit_cost,-0.04709379615394224,0.04709379615394224
categorical__order_month_5,-0.04562131895581795,0.04562131895581795
categorical__category_Suits,0.045210385558417616,0.045210385558417616
categorical__brand_group_HUGO BOSS,-0.043941515046971406,0.043941515046971406
categorical__order_month_6,0.043699469688558354,0.043699469688558354
categorical__brand_group_Lucky Brand,0.04337492473311105,0.04337492473311105
categorical__brand_group_True Religion,0.04147715289173339,0.04147715289173339
categorical__distribution_center_4,-0.04127337386084441,0.04127337386084441
categorical__acquisition_source_Display,-0.04108288385441611,0.04108288385441611
categorical__brand_group_American Apparel,0.03952454319883826,0.03952454319883826
categorical__brand_group_Majestic International,-0.03939133890418245,0.03939133890418245
categorical__distribution_center_1,0.03765129386689971,0.03765129386689971
categorical__distribution_center_8,0.0376102093727509,0.0376102093727509
categorical__category_Dresses,0.03738875719133805,0.03738875719133805
categorical__brand_group_Hot from Hollywood,0.03548834234961251,0.03548834234961251
categorical__brand_group_Anne Klein,-0.03514856799848764,0.03514856799848764
categorical__order_weekday_2,0.03460351523729124,0.03460351523729124
categorical__category_Sweaters,0.03344263345404316,0.03344263345404316
numeric__order_item_count,-0.030458828199191414,0.030458828199191414
categorical__brand_group_Other brands,0.030416056734659684,0.030416056734659684
categorical__order_weekday_1,0.029748147863277487,0.029748147863277487
categorical__age_band_55-64,0.028495236056652967,0.028495236056652967
numeric__sale_price,0.028406889367758953,0.028406889367758953
categorical__age_band_18-24,-0.02815475876271919,0.02815475876271919
categorical__order_weekday_6,-0.027250699905429242,0.027250699905429242
categorical__brand_group_Jockey,0.02710976153723806,0.02710976153723806
categorical__category_Outerwear & Coats,0.026685576250708602,0.026685576250708602
categorical__category_Sleep & Lounge,-0.025635730885150664,0.025635730885150664
categorical__distribution_center_10,-0.02488699195089925,0.02488699195089925
categorical__brand_group_Roxy,-0.02456345807564579,0.02456345807564579
categorical__order_month_11,-0.02398575372913392,0.02398575372913392
categorical__order_weekday_5,-0.023956291750304667,0.023956291750304667
categorical__distribution_center_6,-0.02229600033340196,0.02229600033340196
categorical__category_Suits & Sport Coats,-0.021468858453243027,0.021468858453243027
categorical__category_Blazers & Jackets,-0.020701775675985537,0.020701775675985537
categorical__brand_group_Geoffrey Beene,0.01809885762703262,0.01809885762703262
categorical__distribution_center_3,0.016830935508877307,0.016830935508877307
categorical__order_weekday_4,0.016215040874126285,0.016215040874126285
categorical__country_Spain,-0.015350783663215668,0.015350783663215668
categorical__age_band_25-34,-0.015028538084235904,0.015028538084235904
categorical__brand_group_Wigwam,0.014894287535218695,0.014894287535218695
categorical__brand_group_Harley-Davidson,0.014006926076260239,0.014006926076260239
categorical__order_month_4,-0.013026352799188042,0.013026352799188042
categorical__acquisition_source_Facebook,0.011936016090544982,0.011936016090544982
numeric__age,0.010950248809974571,0.010950248809974571
categorical__category_Swim,0.010803910593714758,0.010803910593714758
categorical__brand_group_Hanes,0.01078755488087186,0.01078755488087186
categorical__brand_group_RVCA,0.01050309335405657,0.01050309335405657
numeric__gross_margin_rate,0.008432095492285765,0.008432095492285765
categorical__category_Tops & Tees,0.007187037082466522,0.007187037082466522
categorical__brand_group_Calvin Klein Jeans,-0.006932890200257579,0.006932890200257579
categorical__brand_group_Hurley,-0.006314875687402113,0.006314875687402113
categorical__brand_group_Kenneth Cole,0.006049702445496151,0.006049702445496151
categorical__order_month_7,0.005352648437736493,0.005352648437736493
categorical__age_band_35-44,-0.005084538835907935,0.005084538835907935
categorical__gender_M,-0.004616279965113844,0.004616279965113844
categorical__department_Men,-0.004616279965113844,0.004616279965113844
categorical__department_Women,-0.004395832352725172,0.004395832352725172
categorical__gender_F,-0.004395832352725172,0.004395832352725172
categorical__brand_group_FineBrandShop,0.0038754606033185334,0.0038754606033185334
categorical__brand_group_Thorlo,0.00369005970752997,0.00369005970752997
categorical__brand_group_adidas,0.0032969369522961155,0.0032969369522961155
categorical__brand_group_Allegra K,-0.0031095769006212995,0.0031095769006212995
categorical__category_Fashion Hoodies & Sweatshirts,-0.0020249659874908526,0.0020249659874908526
categorical__brand_group_Fruit of the Loom,-0.0019991618112919544,0.0019991618112919544
categorical__brand_group_SmartWool,-0.0018197979292221282,0.0018197979292221282
categorical__brand_group_Dickies,0.0015590759874987252,0.0015590759874987252
categorical__category_Accessories,0.0013871850848348813,0.0013871850848348813
categorical__order_month_12,0.0007164205290180573,0.0007164205290180573
